Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin22A,p62,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p62,D01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p62,D09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p62,D10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p62,D11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p62,D12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p63,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p63,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p63,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p63,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p63,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p63,D01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p63,D09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p63,D10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p63,D11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p63,D12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p64,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p64,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p64,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p64,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p64,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p64,D01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p64,D09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p64,D10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p64,D11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p64,D12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p65,B01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p65,B09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p65,B10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p65,B11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p65,B12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p65,E01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p65,E09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p65,E10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p65,E11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p65,E12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p66,B01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p66,B09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p66,B10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p66,B11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p66,B12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p66,E01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p66,E09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p66,E10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p66,E11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p66,E12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p67,B01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p67,B09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p67,B10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p67,B11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p67,B12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p67,E01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p67,E09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p67,E10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p67,E11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p67,E12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p68,B01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p68,B09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p68,B10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p68,B11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p68,B12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p68,E01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p68,E09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p68,E10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p68,E11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p68,E12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p69,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p69,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p69,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p69,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p69,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p69,F01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p69,F09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p69,F10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p69,F11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p69,F12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,3,,,
