Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin15A,p44,A07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,2,,,
toxin15A,p44,A09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,2,,,
toxin15A,p44,A11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,2,,,
toxin15A,p44,D01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,2,,,
toxin15A,p44,D05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,2,,,
toxin15A,p44,D07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,2,,,
toxin15A,p44,D09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,2,,,
toxin15A,p44,D11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,2,,,
toxin15A,p45,D01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p45,D05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p45,D07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p45,D09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p45,D11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p45,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p45,H05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p45,H07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p45,H09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p45,H11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p46,D01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p46,D05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p46,D07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
